Date,Open,High,Low,Close,Adj Close,Volume
"Jan 24, 2018",3591.48,3611.69,3581.33,3609.24,3609.24,245008800
"Jan 23, 2018",3577.22,3594.7,3575.98,3592.08,3592.08,242361500
"Jan 22, 2018",3551.96,3569.43,3541.98,3569.43,3569.43,189305400
"Jan 19, 2018",3515.52,3552.04,3514.71,3550.36,3550.36,258370000
"Jan 18, 2018",3555.54,3561.45,3517.9,3521.31,3521.31,240944000
"Jan 17, 2018",3543.36,3549.22,3534.89,3541.91,3541.91,252108000
"Jan 16, 2018",3537.08,3557.04,3527.73,3550.21,3550.21,160556500
"Jan 15, 2018",3532.01,3539.17,3528.64,3536.41,3536.41,175325000
"Jan 12, 2018",3527.55,3530.69,3516.73,3520.56,3520.56,209787100
"Jan 11, 2018",3523.94,3523.94,3511.62,3512.68,3512.68,153866500
"Jan 10, 2018",3518.76,3523.46,3511.03,3520.45,3520.45,184379900
"Jan 09, 2018",3514.76,3531.56,3514.52,3524.65,3524.65,183381400
"Jan 08, 2018",3498.62,3514.76,3494.54,3512.18,3512.18,134677200
"Jan 05, 2018",3502.34,3503.68,3480.22,3489.45,3489.45,191860800
"Jan 04, 2018",3476.43,3501.16,3465.95,3501.16,3501.16,395236400
"Jan 03, 2018",3434.7,3468.19,3432.87,3464.28,3464.28,180679600
"Jan 02, 2018",3406.48,3433.82,3403.87,3430.3,3430.3,174729900
"Dec 29, 2017",3400.91,3407.26,3390.47,3402.92,3402.92,184812500
"Dec 28, 2017",3391.61,3404.81,3390.86,3399.1,3399.1,103737300
"Dec 27, 2017",3383.38,3396.78,3380.92,3391.67,3391.67,92757900
"Dec 26, 2017",3383.98,3386.06,3370.22,3378.16,3378.16,98619000
"Dec 22, 2017",3390.3,3397.07,3380.64,3385.71,3385.71,158486300
"Dec 21, 2017",3389.18,3395.63,3381.45,3382.53,3382.53,148152500
"Dec 20, 2017",3403.7,3406.75,3389.01,3394.87,3394.87,181017500
"Dec 19, 2017",3422.01,3426.23,3404.47,3404.47,3404.47,176203000
"Dec 18, 2017",3422.9,3427.65,3404.12,3414.82,3414.82,155148400
"Dec 15, 2017",3416.29,3424.54,3412.23,3416.94,3416.94,230889000
"Dec 14, 2017",3469.28,3469.36,3428.38,3435.78,3435.78,151223900
"Dec 13, 2017",3459.93,3469.07,3451,3468.77,3468.77,189230800
"Dec 12, 2017",3459.65,3465.54,3447.49,3465.54,3465.54,148691200
"Dec 11, 2017",3430.2,3463.02,3428.24,3460.45,3460.45,171724800
"Dec 08, 2017",3394.39,3431.64,3394.39,3424.64,3424.64,195897100
"Dec 07, 2017",3401.58,3409.62,3377.96,3388.14,3388.14,206863100
"Dec 06, 2017",3426.59,3429.41,3387.73,3397.21,3397.21,226998300
"Dec 05, 2017",3435.89,3455.97,3431.13,3438.06,3438.06,208932500
"Dec 04, 2017",3449.48,3454.12,3434.19,3438.47,3438.47,136880300
"Dec 01, 2017",3441.85,3462.78,3440.26,3449.54,3449.54,219861300
"Nov 30, 2017",3429.07,3441.19,3419.74,3433.54,3433.54,499199200
"Nov 29, 2017",3447.8,3449.32,3431.61,3438.99,3438.99,168706600
"Nov 28, 2017",3435.71,3443.64,3427.55,3442.35,3442.35,218413300
"Nov 27, 2017",3442.89,3445.62,3431.33,3436.36,3436.36,140315400
"Nov 24, 2017",3430.08,3445.03,3421.86,3442.15,3442.15,142429600
"Nov 23, 2017",3439.04,3440.58,3417.26,3423.17,3423.17,146187100
"Nov 22, 2017",3433.73,3442.78,3430.02,3430.02,3430.02,190297800
"Nov 21, 2017",3394.16,3429.79,3392.87,3423.38,3423.38,223376000
"Nov 20, 2017",3382.58,3390.97,3374.9,3386.59,3386.59,175272100
"Nov 17, 2017",3365.7,3385.33,3363.48,3382.38,3382.38,217866900
"Nov 16, 2017",3368.95,3376.12,3341.3,3341.3,3341.3,242931800
"Nov 15, 2017",3390.96,3396.08,3366.61,3368.7,3368.7,218458100
"Nov 14, 2017",3422.04,3422.46,3393.66,3399.09,3399.09,315691000
"Nov 13, 2017",3414.92,3428.66,3413.67,3419.13,3419.13,203279700
"Nov 10, 2017",3409.57,3431.07,3403.99,3420.1,3420.1,242103000
"Nov 09, 2017",3420.26,3429.21,3409.11,3423.91,3423.91,268011800
"Nov 08, 2017",3409.33,3422.84,3402.35,3421.25,3421.25,206773100
"Nov 07, 2017",3389.89,3416.73,3389.89,3413.1,3413.1,217255400
"Nov 06, 2017",3380.36,3384.2,3368.1,3381.85,3381.85,171041200
"Nov 03, 2017",3382.25,3383.6,3366.93,3382.31,3382.31,150918600
"Nov 02, 2017",3384.08,3393.93,3358.39,3380.5,3380.5,158347000
"Nov 01, 2017",3377.19,3395.76,3374.58,3391.61,3391.61,272873100
"Oct 31, 2017",3364,3382.12,3364,3374.08,3374.08,245333300
"Oct 30, 2017",3385.6,3392.15,3369.22,3375.97,3375.97,202829700
"Oct 27, 2017",3361.21,3386.44,3360.76,3386.44,3386.44,275317000
"Oct 26, 2017",3331.68,3356.42,3331.68,3356.25,3356.25,223698200
"Oct 25, 2017",3328.82,3344.5,3327.18,3343.88,3343.88,173928300
"Oct 24, 2017",3348.45,3354.73,3333.41,3334.67,3334.67,172080300
"Oct 23, 2017",3348.66,3360.95,3340.76,3349.8,3349.8,173685000
"Oct 20, 2017",3343.14,3347.08,3333.23,3340.73,3340.73,180992000
"Oct 19, 2017",3340.42,3354.27,3324.56,3334.91,3334.91,269402600
"Oct 17, 2017",3328.6,3342.37,3322.82,3329.03,3329.03,169164800
"Oct 16, 2017",3323.24,3333.98,3317.74,3323.06,3323.06,204417700
"Oct 13, 2017",3304.81,3326.67,3303.3,3319.11,3319.11,240536200
"Oct 12, 2017",3292.9,3306.36,3287.23,3303.09,3303.09,208903500
"Oct 11, 2017",3294.63,3301.07,3272.36,3280.28,3280.28,208401900
"Oct 10, 2017",3292.37,3296.09,3278.43,3288.95,3288.95,165609200
"Oct 09, 2017",3296.49,3300.88,3279.32,3291.56,3291.56,199046900
"Oct 06, 2017",3267.8,3291.29,3264.48,3291.29,3291.29,221696700
"Oct 05, 2017",3235.29,3264.62,3233.85,3261.84,3261.84,182505900
"Oct 04, 2017",3245.35,3247.02,3230.81,3236.65,3236.65,208823200
"Oct 03, 2017",3269.49,3270.08,3232.06,3246.08,3246.08,175651200
"Oct 02, 2017",3233.95,3264.89,3231.23,3262.1,3262.1,159092800
"Sep 29, 2017",3222.72,3225.26,3200.73,3219.91,3219.91,237131000
"Sep 28, 2017",3242.95,3250.06,3220.07,3227.14,3227.14,192731600
"Sep 27, 2017",3207.3,3242.37,3205.67,3236.15,3236.15,158173600
"Sep 26, 2017",3212.93,3217.31,3202.77,3212.04,3212.04,163440200
"Sep 25, 2017",3231.86,3234.2,3213.68,3215.91,3215.91,151588700
"Sep 22, 2017",3206.51,3222.05,3201.1,3220.25,3220.25,180617000
"Sep 21, 2017",3207.61,3218.8,3203.92,3213.82,3213.82,199014400
