"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","RMSE","pVal","RMSE_forecast"
"101",0,1,1,0,0,1,0,0,498.722974680974,1.71329285224901,0.123736024168291,2.62709453529565
"102",0,1,1,0,0,1,0,1,500.880912357919,1.71318065199419,0.103963313348408,2.60128447429751
"103",0,1,1,0,0,1,1,0,500.722657859567,1.71013890565401,0.0856394875719204,2.65372272926376
"104",0,1,1,0,0,1,1,1,502.925730113285,1.71001386436414,0.0694958190229219,2.62174309804237
"105",0,1,1,0,1,0,0,0,510.131785029526,1.7966535749927,0.171753310301019,5.02153240486029
"106",0,1,1,0,1,0,0,1,512.40365382025,1.79641330415283,0.131092521803938,4.94609495338891
"107",0,1,1,0,1,0,1,0,512.419906845475,1.79653584096769,0.137055763071229,5.01932570434143
"108",0,1,1,0,1,0,1,1,514.73979168483,1.79635009116071,0.101292498331534,4.95137836066482
"109",0,1,1,0,1,1,0,0,500.505262300647,1.71008967242633,0.153551120510974,2.64399506246087
"110",0,1,1,0,1,1,0,1,502.758213735524,1.71010784031846,0.122775574620284,2.62656745366959
"111",0,1,1,0,1,1,1,0,502.628141777912,1.70778236519158,0.106365820207002,2.6620128960755
"112",0,1,1,0,1,1,1,1,504.922586406197,1.70777470823808,0.0820118612101065,2.64041554717697
"113",0,1,1,1,0,0,0,0,508.795902134532,1.78865309756843,0.23637147526802,5.56005141046373
"114",0,1,1,1,0,0,0,1,511.095814533781,1.78864459745258,0.189261142991853,5.56705440988578
"115",0,1,1,1,0,0,1,0,511.091226255089,1.78860776215749,0.185066893617376,5.55716990439042
"116",0,1,1,1,0,0,1,1,513.433504973866,1.78860622937187,0.143620842985541,5.55857621063496
"117",0,1,1,1,0,1,0,0,499.629803187024,1.70521659499766,0.120547751787891,2.63596361942434
"118",0,1,1,1,0,1,0,1,501.895059500346,1.70528136712423,0.0958892540565237,2.62864631963263
"119",0,1,1,1,0,1,1,0,501.628202616601,1.70193108812837,0.0826283019847309,2.64540129028381
"120",0,1,1,1,0,1,1,1,503.9421851449,1.7019982536772,0.0632641371520921,2.63379508019818
"121",0,1,1,1,1,0,0,0,510.581066832563,1.78252381233028,0.217146115861909,5.46814444527655
"122",0,1,1,1,1,0,0,1,512.923073027563,1.78252824255645,0.169996802394543,5.45900240490329
"123",0,1,1,1,1,0,1,0,512.921340598548,1.78249288689011,0.173010168157525,5.46865007495231
"124",0,1,1,1,1,0,1,1,515.306895638084,1.78249591231913,0.131849728924942,5.46298673539281
"125",0,1,1,1,1,1,0,0,501.924016829087,1.70513171406106,0.0967584511026034,2.63760190451662
"126",0,1,1,1,1,1,0,1,504.233837207374,1.7052101845266,0.0741672322320805,2.62998963366359
"127",0,1,1,1,1,1,1,0,503.96984487457,1.70193090874733,0.0589362659960824,2.64486913204337
"128",0,1,1,1,1,1,1,1,506.326215153181,1.70200129360306,0.0432345842699257,2.63270894376507
"129",1,0,0,0,0,0,0,0,509.891134663026,1.82628315766561,0.350371414895812,2.74809683231
"130",1,0,0,0,0,0,0,1,512.063366547697,1.82636194441764,0.301133540902751,2.76289123013717
"131",1,0,0,0,0,0,1,0,511.907756190656,1.8232148161257,0.296981130925697,2.68413313777274
"132",1,0,0,0,0,0,1,1,514.121055025274,1.82329369614296,0.249784213063126,2.69387032267252
"133",1,0,0,0,0,1,0,0,499.811415895384,1.72938257140114,0.138351934131261,2.64149485172166
"134",1,0,0,0,0,1,0,1,501.935589435033,1.7278535399258,0.0983831745942666,2.66981799481241
"135",1,0,0,0,0,1,1,0,501.209610502228,1.71904286984176,0.0895186021797063,2.70746395980177
"136",1,0,0,0,0,1,1,1,503.400080594455,1.71813748853397,0.0640390801967474,2.74644667083279
"137",1,0,0,0,1,0,0,0,511.750337775211,1.82210199411183,0.319679064107597,2.79955941450747
"138",1,0,0,0,1,0,0,1,513.966651290367,1.82215525954832,0.267884666991217,2.80793396983257
"139",1,0,0,0,1,0,1,0,513.855500901473,1.81985298468448,0.265038904408686,2.74119507440334
"140",1,0,0,0,1,0,1,1,516.112529655809,1.81990283100759,0.217013280189717,2.74697514823247
