month,level_1,level_2,value
1998-02,Total,Food Caterers,na
1998-02,Total,Other Eating Places,75.3
1998-03,Total,Restaurants,64.6
1998-03,Total,Fast Food Outlets,63.3
1998-03,Total,Food Caterers,na
1998-03,Total,Other Eating Places,81.8
1998-04,Total,Restaurants,57.5
1998-04,Total,Fast Food Outlets,57.7
1998-04,Total,Food Caterers,na
1998-04,Total,Other Eating Places,79.7
1998-05,Total,Restaurants,65.9
1998-05,Total,Fast Food Outlets,61.3
1998-05,Total,Food Caterers,na
1998-05,Total,Other Eating Places,83.2
1998-06,Total,Restaurants,56.8
1998-06,Total,Fast Food Outlets,61.9
1998-06,Total,Food Caterers,na
1998-06,Total,Other Eating Places,79.4
1998-07,Total,Restaurants,58.3
1998-07,Total,Fast Food Outlets,58.1
1998-07,Total,Food Caterers,na
1998-07,Total,Other Eating Places,78.2
1998-08,Total,Restaurants,58.4
1998-08,Total,Fast Food Outlets,61.7
1998-08,Total,Food Caterers,na
1998-08,Total,Other Eating Places,79.7
1998-09,Total,Restaurants,59.1
1998-09,Total,Fast Food Outlets,54.6
1998-09,Total,Food Caterers,na
1998-09,Total,Other Eating Places,76
1998-10,Total,Restaurants,65.2
1998-10,Total,Fast Food Outlets,59.1
1998-10,Total,Food Caterers,na
1998-10,Total,Other Eating Places,77.8
1998-11,Total,Restaurants,63.8
1998-11,Total,Fast Food Outlets,61.1
1998-11,Total,Food Caterers,na
1998-11,Total,Other Eating Places,78.5
1998-12,Total,Restaurants,70.9
1998-12,Total,Fast Food Outlets,65.5
1998-12,Total,Food Caterers,na
1998-12,Total,Other Eating Places,83.6
1999-01,Total,Restaurants,57.7
1999-01,Total,Fast Food Outlets,60.9
1999-01,Total,Food Caterers,na
1999-01,Total,Other Eating Places,78.6
1999-02,Total,Restaurants,57.1
1999-02,Total,Fast Food Outlets,56.6
1999-02,Total,Food Caterers,na
1999-02,Total,Other Eating Places,69.8
1999-03,Total,Restaurants,65.5
1999-03,Total,Fast Food Outlets,68.2
1999-03,Total,Food Caterers,na
1999-03,Total,Other Eating Places,75.2
1999-04,Total,Restaurants,58.8
1999-04,Total,Fast Food Outlets,62.1
1999-04,Total,Food Caterers,na
1999-04,Total,Other Eating Places,73.6
1999-05,Total,Restaurants,67.2
1999-05,Total,Fast Food Outlets,69.9
1999-05,Total,Food Caterers,na
1999-05,Total,Other Eating Places,73.6
1999-06,Total,Restaurants,66.7
1999-06,Total,Fast Food Outlets,66
1999-06,Total,Food Caterers,na
1999-06,Total,Other Eating Places,75.1
1999-07,Total,Restaurants,60.3
1999-07,Total,Fast Food Outlets,63.7
1999-07,Total,Food Caterers,na
1999-07,Total,Other Eating Places,75.1
1999-08,Total,Restaurants,56.6
1999-08,Total,Fast Food Outlets,64.2
1999-08,Total,Food Caterers,na
1999-08,Total,Other Eating Places,75.7
1999-09,Total,Restaurants,66
1999-09,Total,Fast Food Outlets,61.6
1999-09,Total,Food Caterers,na
1999-09,Total,Other Eating Places,74.8
1999-10,Total,Restaurants,68.1
1999-10,Total,Fast Food Outlets,61.9
1999-10,Total,Food Caterers,na
1999-10,Total,Other Eating Places,79.4
1999-11,Total,Restaurants,69.7
1999-11,Total,Fast Food Outlets,66
1999-11,Total,Food Caterers,na
1999-11,Total,Other Eating Places,79.1
1999-12,Total,Restaurants,77.7
1999-12,Total,Fast Food Outlets,69.2
1999-12,Total,Food Caterers,na
1999-12,Total,Other Eating Places,80.7
2000-01,Total,Restaurants,66.3
2000-01,Total,Fast Food Outlets,71.9
2000-01,Total,Food Caterers,na
2000-01,Total,Other Eating Places,76.8
2000-02,Total,Restaurants,67.8
2000-02,Total,Fast Food Outlets,63.9
2000-02,Total,Food Caterers,na
